Standard Deviation of Differences: 26.652338
Mean Value of Absolute Values of Diffrences: 19.566282
Max Value of Absolute Values of Differences: 271.89612
 
  Real Values  |  Predictions  |  Differences  
   [32.47]        [35.951263]    [-3.4812622]
   [147.87]       [177.38425]    [-29.514252]
   [120.57]       [147.28021]    [-26.710213]
   [72.09]        [107.700584]   [-35.610588]
   [82.95]        [72.3981]      [10.551895] 
   [132.55]       [154.67456]    [-22.124557]
   [147.19]       [147.93164]    [-0.7416382]
   [74.88]        [83.338936]    [-8.458939] 
   [111.3]        [124.465324]   [-13.165321]
   [94.26]        [108.27518]    [-14.015175]
   [159.63]       [137.62875]    [22.001251] 
   [53.35]        [33.221405]    [20.128593] 
   [170.27]       [101.538895]   [68.73111]  
   [115.76]       [125.17239]    [-9.412392] 
   [108.55]       [96.60861]     [11.941391] 
   [515.5]        [243.60387]    [271.89612] 
   [71.41]        [82.10772]     [-10.697716]
   [52.66]        [56.30383]     [-3.6438293]
   [54.23]        [63.022957]    [-8.792957] 
   [65.99]        [82.44786]     [-16.457863]
   [138.41]       [147.38701]    [-8.977005] 
   [115.73]       [91.744675]    [23.985329] 
   [70.2]         [124.80289]    [-54.60289] 
   [185.48]       [108.20565]    [77.274345] 
   [134.14]       [156.60437]    [-22.46437] 
   [40.27]        [37.79476]     [2.4752388] 
   [105.5]        [113.84248]    [-8.3424835]
   [87.84]        [98.705925]    [-10.865929]
   [101.01]       [113.46419]    [-12.4541855]
   [100.01]       [100.63668]    [-0.62667847]
   [97.65]        [90.188225]    [7.4617767] 
   [76.5]         [71.252525]    [5.2474747] 
   [358.44]       [415.75305]    [-57.31305] 
   [112.11]       [121.72406]    [-9.614059] 
   [79.08]        [86.75306]     [-7.6730576]
   [69.41]        [47.19107]     [22.218933] 
   [90.59]        [107.08571]    [-16.495712]
   [85.65]        [104.939766]   [-19.289764]
   [87.39]        [90.721146]    [-3.3311462]
   [154.21]       [157.77097]    [-3.5609589]
   [265.05]       [224.35454]    [40.69545]  
   [76.19]        [93.80598]     [-17.615974]
   [61.73]        [76.95236]     [-15.2223625]
   [48.49]        [64.3002]      [-15.8102]  
   [173.06]       [208.41512]    [-35.355118]
   [106.56]       [123.151436]   [-16.591438]
   [71.7]         [89.38745]     [-17.687454]
   [231.76]       [242.35509]    [-10.595093]
   [83.08]        [98.34819]     [-15.268188]
   [82.62]        [102.56807]    [-19.948067]
   [109.6]        [111.41768]    [-1.8176804]
   [72.44]        [56.89571]     [15.544292] 
   [103.51]       [80.86657]     [22.643433] 
   [68.62]        [45.91853]     [22.701473] 
   [78.13]        [91.25799]     [-13.127991]
   [58.87]        [89.39373]     [-30.523731]
   [98.33]        [112.18071]    [-13.850708]
   [75.48]        [71.90704]     [3.57296]   
   [93.32]        [81.70123]     [11.618767] 
   [71.6]         [65.58291]     [6.01709]   
   [91.7]         [125.7349]     [-34.034904]
   [180.02]       [168.93954]    [11.08046]  
   [147.53]       [170.39375]    [-22.863754]
   [98.56]        [130.29553]    [-31.735535]
   [58.84]        [113.325356]   [-54.485355]
   [60.13]        [56.26981]     [3.8601913] 
   [109.37]       [118.21037]    [-8.84037]  
   [87.64]        [94.16684]     [-6.52684]  
   [82.43]        [75.17028]     [7.25972]   
   [212.82]       [177.51538]    [35.304626] 
   [120.87]       [90.36416]     [30.505844] 
   [110.06]       [149.13493]    [-39.074936]
   [103.66]       [121.87887]    [-18.218864]
   [242.67]       [190.94682]    [51.723175] 
   [73.84]        [82.159065]    [-8.319069] 
   [169.42]       [196.51328]    [-27.093277]
   [212.41]       [202.59665]    [9.8133545] 
   [124.26]       [100.801636]   [23.458366] 
   [121.45]       [87.855736]    [33.59426]  
   [128.44]       [102.851364]   [25.588638] 
   [127.92]       [129.17229]    [-1.2522888]
   [96.53]        [118.63025]    [-22.10025] 
   [239.41]       [212.32425]    [27.085754] 
   [145.8]        [129.54562]    [16.25438]  
   [78.47]        [74.08546]     [4.3845444] 
   [178.8]        [159.95572]    [18.844284] 
   [99.21]        [85.824104]    [13.385895] 
   [78.59]        [105.27505]    [-26.685051]
   [120.41]       [68.6285]      [51.7815]   
   [112.05]       [137.85922]    [-25.80922] 
   [108.97]       [124.65456]    [-15.684555]
   [118.41]       [125.97138]    [-7.5613785]
   [93.35]        [116.78332]    [-23.43332] 
   [139.16]       [126.68905]    [12.470955] 
   [175.55]       [176.03488]    [-0.48487854]
   [75.71]        [60.692783]    [15.017216] 
   [103.97]       [109.564995]   [-5.5949936]
   [77.04]        [75.89789]     [1.1421127] 
   [102.22]       [89.45034]     [12.769661] 
   [276.09]       [306.2214]     [-30.131409]
   [169.5]        [153.28407]    [16.215927] 
   [98.48]        [139.71487]    [-41.23487] 
   [88.12]        [76.9547]      [11.165306] 
   [75.81]        [99.6055]      [-23.795502]
   [30.41]        [52.153976]    [-21.743977]
   [116.78]       [99.64806]     [17.131935] 
   [158.93]       [126.24142]    [32.688576] 
   [92.43]        [113.8571]     [-21.427101]
   [64.15]        [43.403778]    [20.746223] 
   [94.53]        [93.807434]    [0.7225647] 
   [56.57]        [56.16437]     [0.4056282] 
   [219.21]       [238.47034]    [-19.26033] 
   [199.49]       [201.12866]    [-1.6386566]
   [158.62]       [127.08881]    [31.531181] 
   [113.68]       [132.72661]    [-19.046608]
   [77.81]        [67.91957]     [9.890427]  
   [78.41]        [72.813515]    [5.596489]  
   [105.47]       [113.12334]    [-7.6533356]
   [129.9]        [101.22826]    [28.671738] 
   [84.43]        [116.299545]   [-31.869545]
   [127.5]        [130.9828]     [-3.4828033]
   [155.22]       [157.301]      [-2.0809937]
   [58.35]        [47.187183]    [11.162815] 
   [39.32]        [19.011608]    [20.308392] 
   [120.43]       [165.32076]    [-44.890755]
   [245.71]       [226.34848]    [19.361526] 
   [33.05]        [32.370644]    [0.6793556] 
   [56.29]        [95.31644]     [-39.026436]
   [210.19]       [163.42416]    [46.76584]  
   [248.54]       [278.2028]     [-29.662796]
   [71.93]        [81.36756]     [-9.437561] 
   [186.4]        [217.3913]     [-30.991302]
   [57.08]        [89.800964]    [-32.720963]
   [99.38]        [111.810555]   [-12.430557]
   [86.39]        [153.72736]    [-67.33736] 
   [97.59]        [88.29169]     [9.298309]  
   [103.57]       [79.48616]     [24.08384]  
   [25.59]        [19.586077]    [6.0039234] 
   [201.4]        [187.56865]    [13.831345] 
   [127.72]       [136.3497]     [-8.6297]   
   [109.22]       [107.2312]     [1.9888]    
   [86.08]        [89.02085]     [-2.9408493]
   [74.61]        [88.94836]     [-14.338356]
   [90.83]        [88.73487]     [2.095131]  
   [88.17]        [76.117935]    [12.052063] 
   [236.44]       [219.19795]    [17.24205]  
   [236.3]        [317.50568]    [-81.20567] 
   [162.15]       [161.4568]     [0.6931915] 
   [87.21]        [64.834305]    [22.375694] 
   [161.86]       [202.09692]    [-40.236923]
   [97.8]         [88.6906]      [9.1094055] 
   [155.88]       [181.65979]    [-25.779785]
   [14.77]        [32.866333]    [-18.096333]
   [70.82]        [75.01149]     [-4.19149]  
   [125.06]       [169.12903]    [-44.06903] 
   [129.34]       [111.05018]    [18.289818] 
   [151.99]       [169.36668]    [-17.376678]
   [60.95]        [70.731705]    [-9.781704] 
   [301.97]       [291.07584]    [10.894165] 
   [226.68]       [144.74168]    [81.93831]  
   [148.75]       [140.24129]    [8.508713]  
   [258.53]       [252.25284]    [6.2771606] 
   [56.63]        [49.25525]     [7.374752]  
   [146.91]       [166.72943]    [-19.819427]
   [127.21]       [116.35541]    [10.854591] 
   [112.53]       [152.70963]    [-40.179626]
   [59.08]        [72.28156]     [-13.201561]
   [90.9]         [93.168465]    [-2.2684631]
   [121.16]       [150.57541]    [-29.415405]
   [60.71]        [25.42053]     [35.289467] 
   [74.61]        [90.171036]    [-15.561035]
   [89.21]        [102.48878]    [-13.278778]
   [105.42]       [117.71415]    [-12.294151]
   [128.06]       [104.73539]    [23.324608] 
   [123.79]       [139.4374]     [-15.647392]
   [214.37]       [209.87215]    [4.4978485] 
   [125.86]       [102.69864]    [23.161362] 
   [196.31]       [177.60205]    [18.707947] 
   [32.38]        [46.675865]    [-14.295864]
   [63.23]        [42.726982]    [20.503017] 
   [82.89]        [62.900715]    [19.989285] 
   [80.62]        [90.66432]     [-10.044319]
   [231.41]       [293.16602]    [-61.756012]
   [26.52]        [57.266003]    [-30.746002]
   [72.91]        [89.56532]     [-16.65532] 
   [92.71]        [114.520874]   [-21.810875]
   [94.95]        [108.329414]   [-13.379417]
   [63.58]        [68.84799]     [-5.26799]  
   [159.13]       [132.77583]    [26.354172] 
   [73.89]        [55.530663]    [18.359337] 
   [98.28]        [103.93954]    [-5.6595383]
   [239.2]        [273.1605]     [-33.960495]
   [194.58]       [243.18825]    [-48.608246]
   [66.73]        [74.24635]     [-7.51635]  
   [73.43]        [64.03383]     [9.396172]  
   [91.35]        [112.45475]    [-21.104752]
   [85.82]        [61.15419]     [24.66581]  
   [51.56]        [52.45872]     [-0.8987198]
   [66.56]        [58.264107]    [8.295891]  
   [113.7]        [96.99118]     [16.708817] 
   [78.56]        [96.53872]     [-17.978722]
   [110.74]       [144.13968]    [-33.39968] 
   [164.03]       [105.530396]   [58.499603] 
   [137.06]       [149.2143]     [-12.154297]
   [67.84]        [70.74749]     [-2.9074936]
   [128.65]       [138.34428]    [-9.69429]  
   [65.86]        [62.19905]     [3.6609497] 
   [100.03]       [117.91328]    [-17.883278]
   [117.78]       [91.83379]     [25.946205] 
   [107.75]       [163.50899]    [-55.758987]
   [39.62]        [38.938904]    [0.6810951] 
   [52.25]        [43.66891]     [8.581089]  
   [160.34]       [182.82153]    [-22.481537]
   [33.89]        [32.898422]    [0.99157715]
   [141.86]       [151.46854]    [-9.608536] 
   [49.28]        [30.55082]     [18.72918]  
   [85.14]        [70.256996]    [14.883003] 
   [116.58]       [98.38138]     [18.198624] 
   [62.79]        [60.414795]    [2.375206]  
   [60.75]        [77.142235]    [-16.392235]
   [75.92]        [96.48825]     [-20.568253]
   [108.32]       [137.18896]    [-28.868965]
   [30.55]        [41.18607]     [-10.63607] 
   [91.79]        [104.28027]    [-12.4902725]
   [57.14]        [66.30564]     [-9.165642] 
   [97.99]        [77.02631]     [20.963684] 
   [189.95]       [201.84943]    [-11.899429]
   [94.52]        [89.099525]    [5.420471]  
   [262.6]        [176.22949]    [86.370514] 
   [96.05]        [59.104496]    [36.945507] 
   [76.76]        [112.76953]    [-36.00953] 
   [19.77]        [17.015503]    [2.7544975] 
   [106.6]        [66.67955]     [39.92045]  
   [176.]         [172.69536]    [3.3046417] 
   [21.]          [12.578567]    [8.421433]  
   [80.54]        [80.95174]     [-0.41173553]
   [81.24]        [57.04229]     [24.197708] 
   [139.68]       [92.0563]      [47.623695] 
   [47.3]         [34.1531]      [13.1469]   
   [77.14]        [110.884735]   [-33.744736]
   [100.15]       [82.64559]     [17.50441]  
   [67.02]        [67.396034]    [-0.3760376]
   [58.09]        [59.491646]    [-1.4016457]
   [160.8]        [135.05235]    [25.74765]  
   [112.75]       [107.35683]    [5.393173]  
   [115.1]        [111.30841]    [3.7915878] 
   [41.89]        [32.186203]    [9.703796]  
   [90.4]         [86.012535]    [4.3874664] 
   [46.38]        [62.861927]    [-16.481926]
   [111.64]       [63.74535]     [47.89465]  
   [84.97]        [78.65515]     [6.31485]   
   [272.02]       [292.74536]    [-20.725372]
   [63.51]        [86.99403]     [-23.484035]
   [220.57]       [186.42908]    [34.14093]  
   [90.63]        [107.00907]    [-16.379074]
   [21.11]        [15.739448]    [5.370553]  
   [240.71]       [278.53284]    [-37.82283] 
   [112.29]       [90.771034]    [21.518967] 
   [83.63]        [78.80365]     [4.8263474] 
   [67.13]        [58.753635]    [8.376362]  
   [290.14]       [262.0013]     [28.138702] 
   [92.77]        [75.347694]    [17.422302] 
   [100.22]       [92.38551]     [7.834488]  
   [54.57]        [25.446678]    [29.123322] 
   [64.55]        [71.73466]     [-7.184654] 
   [57.2]         [88.61085]     [-31.410847]
   [95.27]        [102.48045]    [-7.210457] 
   [178.41]       [173.33882]    [5.0711823] 
   [245.82]       [236.63536]    [9.184647]  
   [214.59]       [165.07402]    [49.515976] 
   [90.25]        [99.15386]     [-8.903862] 
   [73.97]        [63.890648]    [10.079353] 
   [47.56]        [39.802967]    [7.7570343] 
   [272.22]       [260.19418]    [12.025818] 
   [108.29]       [135.30525]    [-27.015251]
   [370.85]       [404.82202]    [-33.972015]
   [151.87]       [159.0502]     [-7.1802063]
   [171.28]       [139.48167]    [31.798325] 
   [190.7]        [182.8261]     [7.8739014] 
   [230.75]       [257.55515]    [-26.805145]
   [101.71]       [110.72402]    [-9.014023] 
   [94.64]        [84.94143]     [9.69857]   
   [148.51]       [176.9597]     [-28.449707]
   [87.57]        [94.78055]     [-7.2105484]
   [259.2]        [254.97543]    [4.224579]  
   [51.78]        [57.97118]     [-6.191181] 
   [209.33]       [189.73102]    [19.598984] 
   [74.25]        [82.09499]     [-7.8449936]
   [94.95]        [94.51072]     [0.43927765]
   [286.02]       [224.03294]    [61.987045] 
   [109.98]       [93.77415]     [16.205856] 
   [212.88]       [208.10184]    [4.7781677] 
   [189.47]       [146.94147]    [42.528534] 
   [93.8]         [99.57838]     [-5.7783737]
   [158.08]       [130.80002]    [27.279984] 
   [112.1]        [93.591194]    [18.508804] 
   [96.]          [97.19979]     [-1.199791] 
   [55.48]        [54.103577]    [1.3764229] 
   [107.96]       [96.58802]     [11.371979] 
   [11.]          [55.77753]     [-44.77753] 
   [43.38]        [35.85083]     [7.529171]  
   [302.83]       [299.79788]    [3.0321045] 
   [242.51]       [164.6404]     [77.8696]   
   [99.79]        [100.54106]    [-0.7510605]
   [99.97]        [102.32514]    [-2.3551407]
   [90.41]        [122.55423]    [-32.144226]
   [128.1]        [135.76555]    [-7.6655426]
   [96.46]        [89.8629]      [6.5970993] 
   [98.66]        [96.85238]     [1.8076248] 
   [82.07]        [84.453545]    [-2.383545] 
   [44.79]        [71.72426]     [-26.934258]
   [158.24]       [142.84798]    [15.392029] 
   [58.92]        [67.86204]     [-8.9420395]
   [101.19]       [117.98646]    [-16.796455]
   [64.39]        [46.59788]     [17.792118] 
   [175.96]       [168.50641]    [7.453598]  
   [117.87]       [118.62357]    [-0.75357056]
   [95.08]        [65.89495]     [29.185051] 
   [90.46]        [116.752075]   [-26.292076]
   [75.23]        [113.55201]    [-38.322006]
