Standard Deviation of Differences: 19.026775
Mean Value of Absolute Values of Diffrences: 13.598617
Max Value of Absolute Values of Differences: 89.34476
 
  Real Values  |  Predictions  |  Differences  
   [100.44]       [96.195724]    [4.244278]  
   [147.64]       [131.81055]    [15.8294525]
   [158.36]       [151.65157]    [6.708435]  
   [68.95]        [53.836292]    [15.113705] 
   [203.13]       [204.29262]    [-1.1626129]
   [66.37]        [74.52461]     [-8.15461]  
   [55.64]        [73.264984]    [-17.624985]
   [235.14]       [223.93066]    [11.209335] 
   [118.43]       [131.29083]    [-12.860832]
   [75.95]        [71.05524]     [4.89476]   
   [204.23]       [200.70192]    [3.5280762] 
   [108.92]       [124.48792]    [-15.5679245]
   [99.75]        [88.46841]     [11.281593] 
   [126.04]       [92.51485]     [33.525154] 
   [301.44]       [306.3079]     [-4.8678894]
   [92.34]        [90.663536]    [1.6764603] 
   [79.74]        [77.14928]     [2.5907211] 
   [67.18]        [77.54769]     [-10.367691]
   [83.17]        [82.50332]     [0.6666794] 
   [93.64]        [98.582054]    [-4.9420547]
   [179.84]       [241.44933]    [-61.60933] 
   [42.04]        [73.58558]     [-31.545578]
   [87.42]        [83.75263]     [3.667366]  
   [219.21]       [262.44275]    [-43.232742]
   [148.87]       [147.34422]    [1.5257721] 
   [46.52]        [44.669422]    [1.8505783] 
   [120.84]       [93.74586]     [27.09414]  
   [121.72]       [114.89376]    [6.8262405] 
   [59.4]         [65.46367]     [-6.0636673]
   [67.19]        [78.15658]     [-10.966576]
   [221.89]       [226.88885]    [-4.9988556]
   [89.84]        [86.18638]     [3.6536179] 
   [76.76]        [76.38664]     [0.37335968]
   [102.04]       [133.7341]     [-31.6941]  
   [122.27]       [116.30017]    [5.9698257] 
   [231.51]       [213.63858]    [17.871414] 
   [79.59]        [80.69792]     [-1.1079254]
   [83.63]        [81.40103]     [2.2289658] 
   [47.56]        [47.767735]    [-0.20773315]
   [108.92]       [108.474556]   [0.4454422] 
   [145.76]       [149.20798]    [-3.4479828]
   [135.57]       [137.37502]    [-1.8050079]
   [133.34]       [127.037445]   [6.3025513] 
   [179.72]       [174.96248]    [4.7575226] 
   [105.05]       [95.06997]     [9.980034]  
   [270.71]       [233.23872]    [37.471268] 
   [119.52]       [144.8609]     [-25.340904]
   [61.72]        [65.78593]     [-4.0659256]
   [89.13]        [87.02151]     [2.10849]   
   [82.38]        [88.38696]     [-6.0069656]
   [127.71]       [119.609604]   [8.100395]  
   [114.45]       [100.545166]   [13.904831] 
   [32.07]        [34.02908]     [-1.9590797]
   [188.26]       [147.65868]    [40.60132]  
   [70.49]        [63.97093]     [6.5190697] 
   [106.43]       [115.86889]    [-9.438889] 
